 ID Command line                          Date and time       Action(s) Altered
 81 dnf remove python3-pygit2 python3-sec 2025-01-08 19:23:29                 7
 80 dnf install python3-pygit2 python3-se 2025-01-08 19:13:10                 3
 79 dnf install python3-pygit2 nautilus-p 2025-01-08 19:03:23                 4
 78 dnf upgrade -y                        2025-01-08 07:01:02                10
 77 dnf remove tldr                       2025-01-07 18:05:16                 4
 76 dnf install tldr                      2025-01-07 18:03:39                 4
 75 dnf install fractal                   2025-01-07 17:39:48                 1
 74 dnf upgrade -y                        2025-01-07 07:30:12                16
 73 dnf upgrade                           2025-01-05 06:39:22                34
 72 dnf upgrade                           2025-01-04 18:43:37                 4
 71 dnf install ruby ruby-devel openssl-d 2025-01-03 12:33:42                73
 70 dnf upgrade -y                        2025-01-03 07:29:29                24
 69 dnf install bat                       2025-01-02 19:37:59                 1
 68 dnf install fd-find                   2025-01-02 11:58:27                 1
 67 dnf upgrade                           2025-01-01 09:45:41                14
 66 dnf remove mysql                      2024-12-31 18:36:22                 2
 65 dnf install mysql                     2024-12-31 17:31:42                 2
 64 dnf remove sequeler                   2024-12-31 16:21:53                 8
 63 dnf reinstall gnome-boxes             2024-12-31 12:57:59                 2
 62 dnf install tilix                     2024-12-31 12:32:58                 3
 61 dnf upgrade -y                        2024-12-31 09:46:40                 8
 60 dnf install seahorse                  2024-12-31 09:22:17                 1
 59 dnf install secrets                   2024-12-30 13:23:01                11
 58 dnf install wike                      2024-12-30 13:20:56                 1
 57 dnf install sequeler                  2024-12-30 11:45:39                 8
 56 dnf install sqlitebrowser             2024-12-30 11:15:30                 5
 55 dnf remove alacritty                  2024-12-30 11:00:14                 1
 54 dnf install alacritty                 2024-12-30 10:34:03                 1
 53 dnf upgrade                           2024-12-30 08:39:57                 2
 52 dnf remove firewall-config            2024-12-29 10:26:37                 1
 51 dnf reinstall firewalld               2024-12-29 07:36:08                 2
 50 dnf install firewall-config           2024-12-29 07:10:18                 1
 49 dnf install htop                      2024-12-29 06:19:45                 2
 48 dnf upgrade                           2024-12-28 19:07:56                38
 47 dnf install fish                      2024-12-26 21:23:43                 2
 46 dnf install clapper                   2024-12-25 14:31:19                 1
 45 dnf remove nextcloud-client.x86_64    2024-12-25 09:50:47                12
 44 dnf remove nextcloud                  2024-12-25 09:48:56                30
 43 dnf upgrade -y                        2024-12-25 08:05:47                30
 42 dnf upgrade -y                        2024-12-24 15:14:17                 2
 41 dnf remove dbeaver-ce.x86_64          2024-12-23 14:57:50                 1
 40 dnf upgrade                           2024-12-23 12:17:45               109
 39 dnf upgrade                           2024-12-21 20:52:10               102
 38 dnf install kiwix-desktop.x86_64      2024-12-21 18:14:08                13
 37 dnf install zoxide                    2024-12-20 08:25:04                 1
 36 dnf remove zoxide                     2024-12-20 08:22:14                 1
 35 dnf install nextcloud-client          2024-12-19 20:41:32                12
 34 dnf install nextcloud                 2024-12-19 20:29:22                30
 33 dnf upgrade                           2024-12-19 19:38:18                20
 32 dnf upgrade                           2024-12-19 11:15:26                16
 31 dnf install -y neovim python3-neovim  2024-12-18 07:34:33                19
 30 dnf install postgresql-server nodejs  2024-12-16 16:47:22                 8
 29 dnf upgrade -y                        2024-12-16 08:18:36                80
 28 dnf remove zoxide                     2024-12-15 19:24:00                 2
 27 dnf install duf                       2024-12-15 08:03:43                 1
 26 dnf upgrade -y                        2024-12-15 08:02:29                22
 25 dnf install zoxide                    2024-12-15 08:01:27                 2
 24 dnf upgrade                           2024-12-14 18:04:32                42
 23 dnf upgrade                           2024-12-13 11:46:20                58
 22 dnf upgrade                           2024-12-13 02:29:38                 2
 21 dnf install gh --repo gh-cli          2024-12-13 02:02:43                 1
 20 dnf upgrade                           2024-12-12 07:59:58                 6
 19 dnf install epiphany                  2024-12-12 07:47:37                 1
 18 dnf install gnome-backgrounds-extras. 2024-12-11 15:05:32                 1
 17 dnf autoremove                        2024-12-11 12:59:57                 6
 16 dnf upgrade                           2024-12-11 12:58:43                31
 15 dnf install epiphany                  2024-12-11 09:44:19                 1
 14 dnf install geary                     2024-12-11 07:06:24                 3
